OBJECTID,TRAIL_ID,TRAIL_NAME,TRAIL_CLSS,SURF_MAT,ENGINEERED,WIDTH,FENCED,WHEEL_ACC,CONDITION,INST_YEAR,INST_DATE,LIGHT,OWNER,MAINT,STATUS,COMMENTS,ADDDATE,MODDATE,SOURCE,SACC,FCODE,CODE,WALKING,HIKING,BIKING,ATV,SNOWMOBILE,SEASON,COLLECTED,UPDATED,TCT,RAIL,NATURE,ET_SOURCE,SECT_NAME,ASSOCN,DATASOURCE,OFFICIAL,NAME_APP,PLOW,GLOBALID,LEN,SHAPE_Length
104538,703.0,UNKNOWN NAME,,,N,,N,,GOOD,2014.0,,N,HRM,HRM,ACTIVE,,2014/12/12 00:00:00+00,,PICTOMETRY,,,,,,,,,,,,,,,,,,,,,,{A2E9D8DB-DED7-4DEE-A817-B64302D98B54},279.595571472048,0.0020753552764938
104551,5019.0,UNKNOWN NAME,,GRAV,N,1.8,,,GOOD,2012.0,,N,HRM,HRM,ACTIVE,,2013/04/03 00:00:00+00,,,,RRRDTR,,,,,,,,,,,,,,,,,,,,{BDC1783C-E6B2-4D48-8E07-D86C8866C792},213.780742750259,0.0018306222360183
104552,5021.0,UNKNOWN NAME,,GRAV,N,1.8,,,GOOD,2012.0,,N,HRM,HRM,ACTIVE,,2013/04/03 00:00:00+00,,,,RRRDTR,,,,,,,,,,,,,,,,,,,,{24D3582C-ACEF-4C3B-AD2A-F8985B815DC9},816.898709673267,0.0065840652540969
104570,704.0,UNKNOWN NAME,,,N,,N,,GOOD,2014.0,,N,HRM,HRM,ACTIVE,,2014/12/12 00:00:00+00,,PICTOMETRY,,,,,,,,,,,,,,,,,,,,,,{98BC133B-25E1-433E-8658-1CB3AAA67FB5},188.510771698846,0.0016591804172073
104571,705.0,UNKNOWN NAME,,,N,,N,,GOOD,2014.0,,N,HRM,HRM,ACTIVE,,2014/12/12 00:00:00+00,,PICTOMETRY,,,,,,,,,,,,,,,,,,,,,,{25666D98-A1FD-4540-9D28-0CB472E5A4E5},233.771279699772,0.0018226374800147
104572,706.0,UNKNOWN NAME,,,N,,N,,GOOD,2014.0,,N,HRM,HRM,ACTIVE,,2014/12/12 00:00:00+00,,PICTOMETRY,,,,,,,,,,,,,,,,,,,,,,{9AB55735-3612-490C-8304-05F106928C8F},333.070242114161,0.002559711686195
104573,707.0,UNKNOWN NAME,,,N,,N,,GOOD,2014.0,,N,HRM,HRM,ACTIVE,,2014/12/12 00:00:00+00,,PICTOMETRY,,,,,,,,,,,,,,,,,,,,,,{9EDB920A-1A66-4ED1-A1A8-892947B05E17},308.37092297359,0.002308396670827
104583,871.0,FRESHWATER TRAIL PARK WALKWAY,SECONDARY,CRDS,N,2.2,N,,GOOD,2007.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{4608C8B8-1141-4E8A-8EC2-452B6DEF6B1D},91.7735828689425,0.0007680640261707
104586,4059.0,UNKNOWN NAME,,GRAV,,,N,,GOOD,2012.0,,N,HRM,HRM,ACTIVE,,2012/11/02 00:00:00+00,,,,RRRDTR,,N,N,,,,,,,,,,,,,,,,,{630993AF-B59C-4BE7-925B-288DB5BC2CBE},142.148102105974,0.0010219802723823
104603,5020.0,UNKNOWN NAME,,GRAV,N,1.8,,,GOOD,2012.0,,N,HRM,HRM,ACTIVE,,2013/04/03 00:00:00+00,,,,RRRDTR,,,,,,,,,,,,,,,,,,,,{A153BDBB-8C4B-4BF9-BBE6-0EE9E4C62A9B},158.189698934951,0.0011192317119323
104604,5018.0,UNKNOWN NAME,,GRAV,N,1.8,,,GOOD,2012.0,,N,HRM,HRM,ACTIVE,,2013/04/03 00:00:00+00,,,,RRRDTR,,,,,,,,,,,,,,,,,,,,{40CF8AA4-F9FB-4B55-BF38-109AE9495C79},102.957937520532,0.0007573950226996
104882,1637.0,UNKNOWN NAME,TERIARY,NATU,N,1.0,N,,GOOD,2008.0,,N,HRM,HRM,ACTIVE,grass path,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{38D1A1CE-F5A8-4CC2-9669-0F189CFD2ACA},45.0953779891919,0.0002921188509774
104913,2024.0,UNKNOWN NAME,SECONDARY,ASPH, ,3.2,N,,GOOD,2009.0,,Y,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{6A1E5D7D-B69E-45C9-B8E8-A05A55D0892E},248.781610291048,0.0019207624190447
104921,2151.0,UNKNOWN NAME,PRIMARY,GRAV,N,1.8,N,,MARGINAL,2009.0,,N,HRM,HRM,ACTIVE,still under construction,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{A1DF74F4-3B34-404E-AD79-1455343578B5},1177.60508560657,0.0094183896903924
104926,2439.0,BEDFORD SACKVILLE CONNECTOR AT GREENWAY,AT_GW,ASPH, ,3.0,N,,GOOD,2004.0,,N,HRM,HRM,ACTIVE, ,,,,,RRRDTR,HRT,Y,Y,Y,N,N,ALL,,,N,N,,HRTAT,,SACKVILLE RIVERS ASSOCIATION,TPW_TRAILS,,,,{840BCEC6-BDD4-4451-B2F0-5EA75EFBA790},271.509542305041,0.0019122622409591
105016,2017.0,UNKNOWN NAME,SECONDARY,ASPH, ,1.7,Y,,GOOD,2009.0,,N,HRM,HRM,ACTIVE,to parking area,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{A8C2C379-E705-4405-80AB-49A146005881},54.1751157684084,0.0003812362946395
105017,2018.0,UNKNOWN NAME,SECONDARY,ASPH, ,1.7,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{630D2324-1680-4C3D-B3F2-FC06CD5D3C64},74.2217315859833,0.0005911444926192
105018,2019.0,UNKNOWN NAME,PRIMARY,ASPH, ,3.2,Y,,GOOD,2009.0,,N,HRM,HRM,ACTIVE,partially fenced,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{5F0F0C70-1AFE-414D-95C6-7AFC7B9CCD8A},142.553843731661,0.0009806517792471
105019,2020.0,UNKNOWN NAME,SECONDARY,OTHR, ,3.2,N,,GOOD,2009.0,,N,HRM,HRM,ACTIVE,conc. pavers -width widens at road,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,{9E4E5147-98B7-4662-9C76-036D3B5F9BD4},9.12468880823462,5.96573356900983e-05
